id,name,phone,timeOpen,ratingAverage,details,rangePrice,Longitude,Latitude,address
588,Godmother Bake & Brunch,+84 8 5539 1777,Đang mở cửa: 09:00 SA - 10:00 CH,4.0,"Cà phê, Tùy chọn ăn chay, Phù hợp với người ăn chay, Bữa sáng, Bữa trưa, Bữa nửa buổi",400.000 vnd - 700.000 vnd,106.7018921,10.7736211,"Đền Sri Thenday Yutthapani, 66, Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
589,Godmother Restaurant,Chưa xác thực,,4.0,"Quốc tế, Kiểu Á, Bữa tối, Đêm muộn, Chỗ ngồi",400.000 vnd - 700.000 vnd,106.6907298,10.7669662,"Khách Sạn Ngọc Linh 2, Đường Ðỗ Quang Ðẩu, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
590,Gogi House,+84 39317554,,3.5,"Đồ nướng, Kiểu Á, Kiểu Hàn Quốc, Thịt nướng, Bữa trưa, Bữa tối, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6923911,10.7783241,"Fuji Landmark, Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
591,Goi 87 Nguyen Du,+84 90 888 84 42,,4.5,"Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.7050054,10.7739212,"Times Square, 22-36, Đường Ðồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
592,Goku Raku Ramen Chi nhánh Tân Phú,+84 8 6269 2139,Đang mở cửa: 10:00 SA - 10:00 CH,3.5,"Kiểu Nhật, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6698874,10.7469721,"Hẻm 45 Phạm Hùng, Phường 9, Quận 8, Thành phố Hồ Chí Minh, 73009, Việt Nam"
593,Golden Jade,+84 28 3776 1222,,4.0,"Kiểu Trung Quốc, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.6864626,10.8055715,"Trường THPT Phan Đăng Lưu, Hẻm 35 Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72317, Việt Nam"
594,Goldfish Restaurant,+84 91 844 26 53,,4.0,"Kiểu Á, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.6849639,10.770709,"Cửa Hàng Thời Trang BoxShop, 401, Đường Võ Văn Tần, Phường 5, Quận 3, Thành phố Hồ Chí Minh, 72406, Việt Nam"
595,Gọn & Nhẹ - Food & Beer,+84 90 743 37 05,Đang mở cửa: 11:00 SA - 12:00 SA,4.0,"Kiểu Việt, Quầy rượu vang, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.70464,10.774843,"Tiệm Spa Blue Moon, Đường Ðồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
596,Gong Indochine - Grill & Hotpot,+84 90 183 53 88,Đang mở cửa: 07:00 SA - 10:00 CH,5.0,"Nhà hàng bán bia, Đồ nướng, Quán rượu, Kiểu Việt, Kiểu Bữa tối, Bản địa, Bữa sáng, Bữa trưa, Bữa tối, Đồ uống",100.000 vnd - 400.000 vnd,106.6722617,10.7558222,"CHXD Số 41, 326, Đường Trần Phú, Phường 8, Quận 5, Thành phố Hồ Chí Minh, 73009, Việt Nam"
597,Goobne,+84 28 7303 9292,Đang mở cửa: 10:00 SA - 10:00 CH,4.5,"Kiểu Á, Kiểu Hàn Quốc, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.6810943,10.7717276,"Khách Sạn Hello SaiGon, Đường Nguyễn Hiền, Cà phê AQ, Phường 4, Quận 3, Thành phố Hồ Chí Minh, 72406, Việt Nam"
598,GOOD EATS Healthy Kitchen,+84 8 3744 6675,,4.0,"Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay",100.000 vnd - 400.000 vnd,106.7408104,10.8064516,"Cà Phê Thảo Điền, Đường Trần Ngọc Diện, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
599,Gosu Sushi,+84 28 7305 7997,,5.0,Sushi,700.000 vnd - 1.000.000 vnd,106.6828025,10.7761767,"Đường Ðiện Biên Phủ, Phường 4, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
600,Gourmet 217,+84 8 3823 3324,Đang mở cửa: 08:00 SA - 10:00 CH,4.5,"Kiểu Nhật, Cà phê, Đồ nướng, Kiểu Á, Kiểu Hàn Quốc, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten",1612358 vnd - 5.000.000 vnd,106.691686,10.766493,"Metaki, Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
601,Grand Palace,Chưa xác thực,Đang mở cửa: 08:15 SA - 10:00 CH,4.0,"Kiểu Việt, Bữa sáng, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.6698874,10.7469721,"Hẻm 45 Phạm Hùng, Phường 9, Quận 8, Thành phố Hồ Chí Minh, 73009, Việt Nam"
602,Grand Sushi KO,+84 90 131 49 16,Đang mở cửa: 10:00 SA - 11:00 CH,4.0,"Kiểu Nhật, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.7105486,10.7260234,"Đường Nguyễn Bính, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
603,Great Banh mi & cafe,+(84)7106 6789,,3.5,"Kiểu Việt, Kiểu Á, Phù hợp với người ăn chay",20.000 vnd - 99.000 vnd,106.703231,10.7892711,"Golden Tower, 6, Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
604,Green Bamboo Kitchen,+84 28 3821 0199,,5.0,Kiểu Việt,20.000 vnd - 99.000 vnd,106.7359042,10.8042696,"Ashima Mushroom Hotstop, Xuân Thuỷ, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
605,Green Leaf Cafe,Chưa xác thực,,3.5,"Kiểu Việt, Kiểu Mỹ",400.000 vnd - 700.000 vnd,106.6864142,10.7613504,"cafe 343, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
606,Greenie Scoop,+84 91 684 73 36,Đang mở cửa: 10:00 SA - 10:00 CH,5.0,"Kiểu Ý, Đồ ăn nhanh, Kiểu Việt, Tốt cho sức khỏe, Thức ăn đường phố, Bữa trưa, Bữa tối",20.000 vnd - 99.000 vnd,106.6955983,10.7657315,"Trường THCS Minh Đức, Hẻm 135 Trần Hưng Ðạo, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
607,GreenTea MilkTea,+84 8 6680 3449,Đang mở cửa: 08:30 SA - 10:30 CH,4.5,"Đồ ăn nhanh, Bữa sáng, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.6648894,10.8101522,"Toà Nhà ACV, Hẻm 50 Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, 70048, Việt Nam"
608,Gringo Tacos y Cantina,+84 94 912 31 77,Đang mở cửa: 11:00 SA - 10:00 CH,4.5,"Kiểu Mexico, Quốc tế, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Bữa nửa buổi, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống",400.000 vnd - 700.000 vnd,106.6596095,10.7989222,"Hẻm 415 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, 72106, Việt Nam"
609,Guanabana 21 Thao Đien,+84 90 982 48 30,Đang mở cửa: 09:30 SA - 9:30 CH,5.0,"Kiểu Mỹ, Tốt cho sức khỏe, Phù hợp với người ăn chay",100.000 vnd - 400.000 vnd,106.7012249,10.770405,"Masjid Al Rahim, 45, Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
610,Gum Fastfood,+84 96 760 54 59,,5.0,Cửa hàng thức ăn ngon,100.000 vnd - 400.000 vnd,106.696716,10.787569,"G-Coffee, 207B, Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
611,Gummy,+84 96 797 26 10,Đang mở cửa: 10:30 SA - 2:00 CH4:00 CH - 9:00 CH,4.0,"Món kết hợp, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6948283,10.7838379,"24-26, Đường Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 71006, Việt Nam"
612,Guru Sports Bar,+84 97 310 10 10,Đang mở cửa: 10:00 SA - 01:00 SA,4.0,"Kiểu Thái, Quầy bar, Quán rượu, Nhà hàng bán bia, Món kết hợp, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6765799,10.7688674,"Hẻm 290 Lý Thái Tổ, Phường 1, Quận 3, Thành phố Hồ Chí Minh, 72406, Việt Nam"
613,Gusto Italiano,+84 8 3915 9177,Đang mở cửa: 10:00 SA - 10:00 CH,4.0,"Kiểu Ý, Quốc tế, Kiểu Địa Trung Hải, Bữa tối, Bữa trưa, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.7005216,10.7791736,"Papermoney, Đường Nguyễn Du, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
614,Gyoza Chikara Restaurant,+84 93 958 49 51,,4.0,Kiểu Nhật,100.000 vnd - 400.000 vnd,106.6862019,10.7720214,"Nhà Hàng Cơm Chay Mani, 291/2, Đường Võ Văn Tần, Phường 5, Quận 3, Thành phố Hồ Chí Minh, 72406, Việt Nam"
615,Gyu Shige Ngưu Phồn,+84 28 3821 3027,Đang mở cửa: 10:30 SA - 11:00 CH,4.5,"Hải sản, Thịt nướng, Bữa trưa, Bữa tối, Đồ uống",100.000 vnd - 400.000 vnd,106.6563484,10.8012149,"Honda Ô Tô Cộng Hoà, Cộng Hòa, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, 72106, Việt Nam"
616,GYUMARU HAMBURG STEAK LTT,+84 28 3827 1618,Đang mở cửa: 11:00 SA - 10:00 CH,4.5,"Kiểu Nhật, Nhà hàng bít tết, Món kết hợp, Bữa nửa buổi, Bữa trưa, Bữa tối, Đồ uống",100.000 vnd - 400.000 vnd,106.6972097,10.7735472,"Reisebüro, Thủ Khoa Huân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
617,Hà Nội Quán,+84 94 591 32 90,,4.5,0.000 ₫ - 65.000 ₫,20.000 vnd - 99.000 vnd,106.7043835,10.772936,"Bún Chả Hồ Gươm, Hẻm 53 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
618,Haan - Drink & Eatery,+84 28 3827 0123,Đang mở cửa: 10:00 SA - 11:00 CH,3.5,"Kiểu Ý, Kiểu Mexico, Kiểu Nhật, Kiểu Mỹ, Cà phê, Hải sản, Tốt cho sức khỏe, Kiểu Úc, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống, Đặt chỗ, Dịch vụ bàn, Giao hàng, Cửa hàng bán thức ăn mang về, Ngồi ngoài trời, Ăn tối p",400.000 vnd - 700.000 vnd,106.6972097,10.7735472,"Reisebüro, Thủ Khoa Huân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
619,Habitat Bar,+84 28 7300 6853,Đang mở cửa: 5:00 CH - 11:00 CH,5.0,"Quầy bar, Quán rượu, Quầy rượu vang, Bữa tối",100.000 vnd - 400.000 vnd,105.9739049,9.602521,"Hai Bà Trưng, Phường 1, Thành phố Sóc Trăng, Tỉnh Sóc Trăng, 96113, Việt Nam"
620,Hải Ký Mì Gia,+84 8 3836 3408,,4.5,"Kiểu Á, Kiểu Trung Quốc, Bữa trưa, Bữa nửa buổi, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6813819,10.7788879,"Hẻm 252 Đường Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
621,Hải Sản Rạn Biển,+84 28 3931 5023,Đang mở cửa: 09:00 SA - 11:00 CH,3.5,"Hải sản, Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.682971,10.7642727,"Khách sạn Nikko Saigon, 235, Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, 72406, Việt Nam"
622,Haidilao,+84 28 6273 1000,,5.0,Món kết hợp,400.000 vnd - 700.000 vnd,106.706549,10.759884,"Hẻm 122 Đường Tôn Đản, Phường 10, Quận 4, Thành phố Hồ Chí Minh, 72800, Việt Nam"
623,Hakataya Fukurou,+84 94 386 00 07,,3.5,Kiểu Nhật,700.000 vnd - 1.000.000 vnd,106.730893,10.8080326,"Đường Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71107, Việt Nam"
624,Halal Amin - Pho Muslim,+84 166 957 4427,,4.0,"Kiểu Á, Kiểu Việt, Kiểu Singapore, Kiểu Malaysia, Súp, Thịt kiểu Hồi giáo, Bữa tối, Bữa trưa",400.000 vnd - 700.000 vnd,106.673609,10.796596,"Khách Sạn Eastin Grand Sài Gòn, 235, Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh, 70150, Việt Nam"
625,Halal Saigon,+84 93 843 99 96,Đang mở cửa: 10:00 SA - 10:00 CH,4.0,"Kiểu Á, Kiểu Malaysia, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo",100.000 vnd - 400.000 vnd,106.7036964,10.779305,"Chi hoa vietnamese cuisine, Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
626,Hàm Nghi Quán,+84 97 388 66 86,,5.0,Kiểu Việt,100.000 vnd - 400.000 vnd,106.668057,10.764312,"380, Đường Nguyễn Tri Phương, Phường 4, Quận 10, Thành phố Hồ Chí Minh, 72000, Việt Nam"
627,Hana Bbq Hot Pot Buffet,+84 8 3822 5466,,4.0,"Đồ nướng, Kiểu Á, Bữa tối, Bữa trưa, Đặt chỗ, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6907774,10.7787935,"Nhà Hàng Cơm Quê Mười Khó, Đường Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
628,Hana Maru Ramen,Chưa xác thực,,4.5,"Kiểu Trung Quốc, Kiểu Nhật",700.000 vnd - 1.000.000 vnd,106.6737895,10.769598,"623, Lê Hồng Phong, Phường 10, Quận 10, Thành phố Hồ Chí Minh, 72406, Việt Nam"
629,Hana Mizuki,+84 8 3824 2411,,4.0,Kiểu Nhật,700.000 vnd - 1.000.000 vnd,106.7033202,10.7733085,"Nhà Hàng Dragon Hotpot, Huỳnh Thúc Kháng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
630,Hanabi Japanese Cuisine,+84 93 111 50 88,Đang mở cửa: 6:00 CH - 10:30 CH,5.0,"Kiểu Nhật, Bữa tối, Dịch vụ bàn, Đặt chỗ, Ăn tối phòng riêng, Phục vụ đồ uống có cồn, Rượu và bia, Wifi miễn phí",700.000 vnd - 1.000.000 vnd,106.7418106,10.8007844,"The Pizza Company, Đường Song Hành, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
631,Hàng Dương Quán,+84 96 881 77 88,Đang mở cửa: 12:00 SA - 11:59 CH,4.5,"Kiểu Mỹ, Nhà hàng bít tết, Nhà hàng bán bia, Quầy bar, Quán rượu, Quầy rượu vang, Bữa sáng, Bữa tối, Đêm muộn, Đồ uống, Đặt chỗ, Ngồi ngoài trời, Ăn tối phòng riêng, Có bãi đỗ xe, Bãi đỗ xe đường phố, Bãi đỗ xe có vé, Đỗ xe có ngườ",400.000 vnd - 700.000 vnd,106.7669248,10.8439908,"Nhà hàng Sesan, Đường Einstein, Phường Bình Thọ, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71211, Việt Nam"
632,Hangang Korean Restaurant,+84 8 3822 6172,Đang mở cửa: 11:00 SA - 9:30 CH,4.0,"Kiểu Á, Kiểu Hàn Quốc, Bữa tối, Bữa trưa, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6924832,10.7860621,"Hẻm 58 Đường Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 72210, Việt Nam"
633,HangOut Cafe by goreise,+84 93 738 83 82,Đang mở cửa: 07:00 SA - 9:30 CH,5.0,"Kiểu Thái, Kiểu Việt, Bữa sáng, Bữa trưa, Bữa tối, Đồ uống",100.000 vnd - 400.000 vnd,106.696655,10.788617,"Hẻm 119 Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 72210, Việt Nam"
634,Hào Cafe,Chưa xác thực,,5.0,"Cà phê, Kiểu Việt",400.000 vnd - 700.000 vnd,106.6726391,10.77114,"Con Cưng, Đường Lê Hồng Phong, Phường 12, Quận 10, Thành phố Hồ Chí Minh, 72406, Việt Nam"
635,Hao Yu Grilled Fish,+84 28 7300 0106,Đang mở cửa: 11:00 SA - 2:00 CH5:00 CH - 10:00 CH,4.5,"Kiểu Trung Quốc, Quốc tế, Đồ nướng, Kiểu Á, Bữa trưa, Bữa tối, Đồ uống",100.000 vnd - 400.000 vnd,106.7004525,10.7718819,"Club 61, 61, Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
636,Happy  Life 185,+84 90 397 85 37,Đang mở cửa: 12:00 SA - 11:59 CH,4.0,"Quán rượu, Quầy bar, Bữa trưa, Bữa tối, Phục vụ đồ uống có cồn",400.000 vnd - 700.000 vnd,106.6683004,10.7626283,"294, Đường Nguyễn Tri Phương, Phường 4, Quận 10, Thành phố Hồ Chí Minh, 72000, Việt Nam"
637,Happy Fish,+84 93 859 43 86,,4.5,"Kiểu Nhật, Hải sản, Sushi, Kiểu Á, Phong cách ẩm thực Fusion Nhật Bản",400.000 vnd - 700.000 vnd,106.7005792,10.783648,"Tổng Lãnh sự quán Hoa Kỳ, 4, Mạc Đĩnh Chi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
638,Happy Thai - Saigon,+84 93 115 51 02,Đang mở cửa: 07:00 SA - 10:00 CH,4.5,"Kiểu Thái, Bữa trưa, Bữa tối, Bữa nửa buổi, Giao hàng, Đặt chỗ, Có ghế ăn cho bé, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ tín dụng, Phong cách gia đình, Nhà hàng không hút thuốc, Có thẻ quà ",400.000 vnd - 700.000 vnd,106.7004525,10.7718819,"Club 61, 61, Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
639,Happy Thai 207 Pham Ngu Lao,+84 90 196 67 88,Đang mở cửa: 11:00 SA - 10:00 CH,4.5,"Kiểu Á, Kiểu Thái, Cửa hàng thức ăn ngon, Bản địa, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.7092595,10.7302632,"Phương Linh Spa, Đường số 6, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
640,Hareya,+84 163 383 6875,,4.5,"Kiểu Nhật, Bữa tối",700.000 vnd - 1.000.000 vnd,106.7192025,10.7955236,"Vinhomes Central Park, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam"
641,Harrison K-Food Shop,+84 28 3803 5183,Đang mở cửa: 09:00 SA - 8:00 CH,5.0,"Kiểu Á, Kiểu Hàn Quốc, Bữa sáng, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.7080651,10.7334325,"Ministop, R23, Hung Gia 1, Hưng Gia II, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
642,Hàu Kokyu Ho,+84 93 866 31 87,,4.5,"Hải sản, Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt",100.000 vnd - 400.000 vnd,106.706214,10.774102,"Liberty Central Hotel, 17, Đường Tôn Ðức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 72806, Việt Nam"
643,Heal and Celeb Vegan Restaurant Thuan Chay,+84 93 769 93 35,,5.0,"Kiểu Ấn Độ, Quốc tế, Kiểu Âu, Kiểu Á, Món kết hợp",400.000 vnd - 700.000 vnd,106.70878,10.739393,"424, Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
644,Heart of Darkness Craft Brewery,+84 90 301 75 96,Đang mở cửa: 11:00 SA - 12:00 SA,4.5,"Nhà hàng bán bia, Quầy bar, Quán rượu, Đồ nướng, Phù hợp với người ăn chay, Tùy chọn ăn chay",400.000 vnd - 700.000 vnd,106.704573,10.779743,"Vietnam Coffee Republic, Hẻm 8A Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
645,Hell Bull BBQ n Beer,+84 120 221 7842,,5.0,"Kiểu Đức, Kiểu Âu, Kiểu Việt",100.000 vnd - 400.000 vnd,106.7222345,10.7948824,"Vincom Center, 720A, Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam"
646,Hellas - Traditional Greek Cuisine,+84 28 3915 2882,Đang mở cửa: 10:30 SA - 11:00 CH,4.5,"Kiểu Hy Lạp, Kiểu Địa Trung Hải, Kiểu Âu, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten",100.000 vnd - 400.000 vnd,106.704487,10.772854,"Bún Chả Hồ Gươm, Hẻm 53 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
647,Hẻm 12 - Món Ngon Đường Phố,+84 91 185 39 88,Đang mở cửa: 07:00 SA - 10:00 CH,4.5,"Bữa sáng, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.7001764,10.785116,"Hẻm 18Bis Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
648,Here & Now_Nhà hàng chay và cafe,+84 28 2253 8183,Đang mở cửa: 07:00 SA - 9:30 CH,4.5,"Kiểu Việt, Kiểu Á, Cà phê, Quốc tế, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay",100.000 vnd - 400.000 vnd,106.6901692,10.7810231,"Quán Cà Phê Vừng Ơi Mở Ra, Ngô Thời Nhiệm, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
649,Here And Now Vegetarian,+84 28 6292 6669,Đang mở cửa: 09:00 SA - 9:30 CH,4.5,"Kiểu Á, Kiểu Việt, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay",100.000 vnd - 400.000 vnd,106.6903803,10.7812838,"Nhà Tang lễ Thành phố, 25, Lê Quý Ðôn, Phường 14, Quận 3, Thành phố Hồ Chí Minh, 70150, Việt Nam"
650,Hervé Dining Room,+84 90 406 82 04,Đang mở cửa: 6:00 CH - 10:00 CH,5.0,"Kiểu Pháp, Bữa tối",100.000 vnd - 400.000 vnd,106.7053604,10.7811423,"Khách sạn Roseland Centa, Hẻm 15A Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
651,Hi Salad,+84 8 3821 8117,,3.5,"Kiểu Á, Món kết hợp, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa trưa, Bữa tối, Bữa sáng",400.000 vnd - 700.000 vnd,106.6942221,10.7866576,"Hẻm 187 Đường Điện Biên Phủ, Cao Ốc Dương Anh, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 72210, Việt Nam"
652,Hibiki BBQ Thịt Wagyu Nướng Hibiki,+84 28 6287 3521,Đang mở cửa: 4:00 CH - 11:30 CH,5.0,"Kiểu Nhật, Đồ nướng, Kiểu Á, Thịt nướng, Bữa tối, Đêm muộn, Đồ uống, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Bãi đỗ xe đường phố, Phục vụ đồ uống có cồn, Quầy bar đầy đủ, Rượu và bia, Wifi miễn phí, Chấp nhận thẻ tín dụng",400.000 vnd - 700.000 vnd,106.7058136,10.7745237,"Toà nhà Mê Linh Point, 2, Hồ Huấn Nghiệp, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
653,Hidden Cafe,+84 126 434 7573,Đang đóng cửa:  Xem tất cả giờ,4.5,"Kiểu Pháp, Kiểu Mỹ, Quốc tế, Kiểu Việt, Bữa sáng, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.7007849,10.7721155,"Sushi Sake, Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
654,Hidden House - Vietnamese Restaurant & Drinks,+84 96 262 16 25,Đang mở cửa: 10:00 SA - 11:00 CH,4.5,"Hải sản, Cửa hàng thức ăn ngon, Kiểu Việt, Quán bar phục vụ đồ ăn, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống",100.000 vnd - 400.000 vnd,106.6964969,10.764309,"Soho Residence, Đường Ðề Thám, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
655,Hidden House Restaurant,+84 96 262 16 25,Đang mở cửa: 11:00 SA - 11:45 CH,4.5,"Kiểu Việt, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.7053809,10.779541,"Oishii Hanoi, Hẻm 8A Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
656,High View,+84 93 701 79 86,Đang mở cửa: 5:00 CH - 10:00 CH,4.5,"Kiểu Á, Kiểu Thái, Kiểu Malaysia, Bữa tối",100.000 vnd - 400.000 vnd,106.7382763,10.8027203,"Tiệm Massage & Spa Mandarin, Đường Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
657,Highlands coffee,+84 8 3822 7110,,4.0,"Cà phê, Bữa sáng, Chỗ ngồi",400.000 vnd - 700.000 vnd,106.7089216,10.7269843,"Mỹ Khánh IV, Đường Phạm Thái Bường, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
